NAME,state,year,age_under_5,age_5_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_84,age_85_plus,age_under_5,age_5_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_84,age_85_plus,total_population
Maine,23,2013,64177,70496,159483,157116,146376,180882,216316,174930,96160,33113,10262.0,64177,70496,159483,157116,146376,180882,216316,174930,96160,33113,10262.0,1328302
Maine,23,2014,62917,71830,157385,155225,149807,174208,217565,181275,96753,31764,11031.0,62917,71830,157385,155225,149807,174208,217565,181275,96753,31764,11031.0,1330089
Maine,23,2015,63852,69349,155963,155116,146320,172948,215600,186662,102504,28990,10673.0,63852,69349,155963,155116,146320,172948,215600,186662,102504,28990,10673.0,1329328
Maine,23,2016,63941,74853,151051,154906,150954,169302,209868,192267,99895,29246,14109.0,63941,74853,151051,154906,150954,169302,209868,192267,99895,29246,14109.0,1331479
Maine,23,2017,64390,69707,155800,154002,155585,161790,206173,192410,111462,29842,12374.0,64390,69707,155800,154002,155585,161790,206173,192410,111462,29842,12374.0,1335907
Maine,23,2018,63410,67860,149874,153580,160310,158300,200748,200651,117404,31418,12650.0,63410,67860,149874,153580,160310,158300,200748,200651,117404,31418,12650.0,1338404
Maine,23,2019,62813,64874,151079,156462,159657,160070,194682,201020,127433,31469,11055.0,62813,64874,151079,156462,159657,160070,194682,201020,127433,31469,11055.0,1344212
Maine,23,2021,61034,69073,149478,156639,174806,158475,194658,208309,139081,31632,11472.0,61034,69073,149478,156639,174806,158475,194658,208309,139081,31632,11472.0,1372247
Maine,23,2022,61018,69458,144970,159207,175007,160086,192173,212846,141410,36126,12164.0,61018,69458,144970,159207,175007,160086,192173,212846,141410,36126,12164.0,1385340
Maine,23,2023,59898,66379,152578,157211,173981,167172,186190,216104,146656,39057,12528.0,59898,66379,152578,157211,173981,167172,186190,216104,146656,39057,12528.0,1395722
