NAME,B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,state,year
Maine,1328302,649994,32373,36705,39051,25301,17520,9626,9051,23071,37774,36383,36103,41355,47345,53266,53086,17932,27804,18974,17785,27450,18552,13225,10262,678308,31804,33791,37460,23850,16301,9570,7537,21329,39158,36862,37028,43306,48876,55612,54352,22890,28846,19846,20853,28298,21860,19888,23,2013
Maine,1330089,647622,31581,36972,37266,24650,16833,8338,8064,23712,37999,36570,37458,39791,45318,54022,51361,21054,26829,17150,23965,26972,17759,12927,11031,682467,31336,34858,38386,22923,17327,8073,8427,21936,38676,39038,36741,42190,46909,55621,56561,21664,29041,19013,22559,30532,21490,18837,23,2014
Maine,1329328,651030,32056,35922,39426,24727,17329,8593,8549,23579,37405,36935,35385,39896,44696,51722,52612,20169,28764,17499,24659,28221,20152,12061,10673,678298,31796,33427,35494,23011,15976,9588,8040,20575,38787,38837,35163,42228,46128,53603,57663,20380,30299,19768,25124,31370,22761,16929,23,2015
Maine,1331479,650702,32762,38158,35053,24217,17552,8302,6920,24009,40083,38249,34948,39542,44118,49259,54485,19223,27399,18840,26904,27412,17312,11846,14109,680777,31179,36695,33904,22983,17342,8478,7362,19994,39758,39362,38395,38762,46880,51368,54756,23968,29362,18628,27943,32053,23118,17400,23,2016
Maine,1335907,654763,32516,36059,37760,24118,17567,7330,7936,23710,40438,39870,37150,36723,42615,47785,54289,19070,27882,19075,24099,33862,19628,12907,12374,681144,31874,33648,35753,22474,18128,7822,9186,18286,39294,39111,39454,37791,44661,49762,54337,24201,30566,21589,25928,34608,23364,16935,23,2017
Maine,1338404,655734,32681,35539,36361,23815,17187,5769,8503,23069,40656,40084,40691,35497,41871,46768,49118,22148,31104,21161,24204,32768,19942,14148,12650,682670,30729,32321,36188,20918,15405,6051,7772,22714,39046,40158,39377,37871,43061,48766,56096,22043,32958,21098,25935,38787,25907,17270,23,2018
Maine,1344212,656330,32093,32704,37521,23240,17053,8270,8929,20844,41202,40233,39417,36724,41320,45005,48915,20491,32377,18742,24230,37734,25210,13021,11055,687882,30720,32170,35349,22556,15360,7536,7556,21159,40966,41830,38177,39297,42729,47375,53387,21912,33817,20809,28642,39399,25090,18448,23,2019
Maine,1372247,673483,31287,32380,40033,23352,15555,10438,6568,21702,38844,43725,43304,39691,38932,46359,51745,23835,28502,18804,28554,40862,24015,13524,11472,698764,29747,36693,33224,22959,14355,8985,9020,20871,40211,42886,44891,39563,40289,45119,51435,23622,35024,20295,29673,45783,28421,18108,23,2021
Maine,1385340,684557,32126,35275,35967,23084,15461,7662,7139,25764,39012,43903,45149,40527,40410,45030,49852,22611,31673,20328,28979,39518,27481,15442,12164,700783,28892,34183,34133,21831,14494,7354,7626,24208,40442,42519,43436,40887,38262,45562,51729,23038,33206,22758,30253,43832,30579,20684,23,2022
Maine,1395722,685126,30229,33734,38332,23928,16872,8551,6821,25491,39829,43174,42748,44288,38100,45115,45403,22442,32192,18949,30863,40772,28433,16332,12528,710596,29669,32645,34260,22981,16205,6940,8493,21111,39975,45287,42772,45949,38835,46052,49620,20840,36719,23641,30458,45124,32327,22725,23,2023
Maine,1405012,692688,30280,36610,35417,23956,18374,8944,9365,21438,40350,45474,43767,43674,38917,44401,44218,22802,31891,18949,30029,43584,30152,17269,12827,712324,28229,35453,32919,21815,16185,7476,6795,21899,40442,45819,43972,45553,38961,44531,47441,20433,37285,20147,32459,48703,34912,21802,23,2024
